,link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,bairro,latitude,longitude,região
80,https://www.quintoandar.com.br/imovel/893218878/comprar/apartamento-2-quartos-jardim-chapadao-campinas,270.0,660.0,83.0,2,82,1,2,Até 3° andar,Sem mobília,jardim chapadao campinas,-22.89677,-47.085149,2
81,https://www.quintoandar.com.br/imovel/894380279/comprar/apartamento-2-quartos-jardim-pauliceia-campinas,220.0,500.0,23.0,2,60,1,1,4° a 7° andar,Mobiliado,jardim pauliceia campinas,-22.9206263,-47.1058597,0
82,https://www.quintoandar.com.br/imovel/894326422/comprar/apartamento-3-quartos-vila-joao-jorge-campinas,360.0,600.0,101.0,3,75,1,2,4° a 7° andar,Sem mobília,vila joao jorge campinas,-22.9157697,-47.0608805,2
83,https://www.quintoandar.com.br/imovel/894362796/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,230.0,570.0,66.0,2,79,1,2,Até 3° andar,Sem mobília,vila joao jorge campinas,-22.914686,-47.0624225,2
84,https://www.quintoandar.com.br/imovel/894301068/comprar/apartamento-2-quartos-jardim-das-bandeiras-campinas,279.0,370.0,42.0,2,53,1,1,8° a 11° andar,Sem mobília,jardim das bandeiras campinas,-22.9480604,-47.0867268,0
85,https://www.quintoandar.com.br/imovel/893815734/comprar/apartamento-3-quartos-vila-mimosa-campinas,235.0,398.0,34.0,3,88,1,1,Até 3° andar,Sem mobília,vila mimosa campinas,-22.9353729,-47.0919369,0
86,https://www.quintoandar.com.br/imovel/894389531/comprar/apartamento-2-quartos-jardim-samambaia-campinas,275.0,550.0,15.0,2,49,1,1,8° a 11° andar,Sem mobília,jardim samambaia campinas,-22.9335318,-47.0184541,1
87,https://www.quintoandar.com.br/imovel/894284739/comprar/apartamento-2-quartos-centro-campinas,340.0,590.0,100.0,2,90,1,1,8° a 11° andar,Sem mobília,centro campinas,-22.9072251,-47.0574277,2
88,https://www.quintoandar.com.br/imovel/894371175/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,300.0,362.0,55.0,2,54,1,1,4° a 7° andar,Sem mobília,jardim do lago continuacao campinas,-22.9480604,-47.0867268,0
89,https://www.quintoandar.com.br/imovel/894410403/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,375.0,390.0,75.0,3,105,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9304653,-47.0602217,1
90,https://www.quintoandar.com.br/imovel/894454669/comprar/apartamento-2-quartos-jardim-myrian-moreira-da-costa-campinas,298.0,480.0,87.0,2,55,1,2,Até 3° andar,Sem mobília,jardim myrian moreira da costa campinas,-22.8126252,-47.0272552,2
