link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,localização
https://www.quintoandar.com.br/imovel/894448605/comprar/apartamento-3-quartos-bosque-campinas,400.0,700.0,12x R$ 100,3.0,117.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.9088648,-47.044971"
https://www.quintoandar.com.br/imovel/894218970/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,315.0,486.0,12x R$ 75,2.0,89.0,1.0,2.0,-,Sem mobília,"=-22.91469,-47.0624551"
https://www.quintoandar.com.br/imovel/893588109/comprar/apartamento-2-quartos-botafogo-campinas,270.0,550.0,12x R$ 38,2.0,69.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9011468,-47.0694083"
https://www.quintoandar.com.br/imovel/894460499/comprar/apartamento-2-quartos-jardim-sao-jose-campinas,210.0,358.0,12x R$ 10,2.0,48.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9620778,-47.0942372"
https://www.quintoandar.com.br/imovel/894298133/comprar/apartamento-2-quartos-jardim-santa-eudoxia-campinas,300.0,603.0,12x R$ 75,2.0,59.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9290386,-47.0346822"
https://www.quintoandar.com.br/imovel/893515330/comprar/apartamento-2-quartos-centro-campinas,230.0,700.0,12x R$ 125,2.0,60.0,1.0,1.0,4° a 7° andar,Sem mobília,"-22.904617,-47.0360041"
https://www.quintoandar.com.br/imovel/894383593/comprar/apartamento-2-quartos-parque-italia-campinas,260.0,350.0,12x R$ 55,2.0,57.0,1.0,1.0,Até 3° andar,Sem mobília,"aps?q&layer=c&cbll=0,0"
https://www.quintoandar.com.br/imovel/894400693/comprar/apartamento-3-quartos-parque-italia-campinas,310.0,517.0,12x R$ 36,3.0,55.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9181763,-47.0683851"
https://www.quintoandar.com.br/imovel/894429649/comprar/apartamento-3-quartos-jardim-garcia-campinas,310.0,490.0,12x R$ 56,3.0,70.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9062244,-47.1109763"
https://www.quintoandar.com.br/imovel/893218878/comprar/apartamento-2-quartos-jardim-chapadao-campinas,270.0,660.0,12x R$ 83,2.0,82.0,1.0,2.0,Até 3° andar,Sem mobília,"l=-22.89677,-47.085149"
https://www.quintoandar.com.br/imovel/894380279/comprar/apartamento-2-quartos-jardim-pauliceia-campinas,220.0,500.0,12x R$ 23,2.0,60.0,1.0,1.0,4° a 7° andar,Mobiliado,"22.9206263,-47.1058597"
https://www.quintoandar.com.br/imovel/894326422/comprar/apartamento-3-quartos-vila-joao-jorge-campinas,360.0,600.0,12x R$ 101,3.0,75.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9157697,-47.0608805"
https://www.quintoandar.com.br/imovel/894362796/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,230.0,570.0,12x R$ 66,2.0,79.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.914686,-47.0624225"
https://www.quintoandar.com.br/imovel/894301068/comprar/apartamento-2-quartos-jardim-das-bandeiras-campinas,279.0,370.0,12x R$ 42,2.0,53.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9480604,-47.0867268"
https://www.quintoandar.com.br/imovel/893815734/comprar/apartamento-3-quartos-vila-mimosa-campinas,235.0,398.0,12x R$ 34,3.0,88.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9353729,-47.0919369"
https://www.quintoandar.com.br/imovel/894389531/comprar/apartamento-2-quartos-jardim-samambaia-campinas,275.0,550.0,12x R$ 15,2.0,49.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9335318,-47.0184541"
https://www.quintoandar.com.br/imovel/894284739/comprar/apartamento-2-quartos-centro-campinas,340.0,590.0,12x R$ 100,2.0,90.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9072251,-47.0574277"
https://www.quintoandar.com.br/imovel/894371175/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,300.0,362.0,12x R$ 55,2.0,54.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9480604,-47.0867268"
https://www.quintoandar.com.br/imovel/894410403/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,375.0,390.0,12x R$ 75,3.0,105.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9304653,-47.0602217"
https://www.quintoandar.com.br/imovel/894454669/comprar/apartamento-2-quartos-jardim-myrian-moreira-da-costa-campinas,298.0,480.0,12x R$ 87,2.0,55.0,1.0,2.0,Até 3° andar,Sem mobília,"22.8126252,-47.0272552"
https://www.quintoandar.com.br/imovel/894379949/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,390.0,360.0,12x R$ 74,2.0,45.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9304653,-47.0602217"
