Player_id,Team_id,Name,Role,Kills_avg,Assists_avg,Deaths_avg,CS/min,Gold/min,Damage/min,Vision/min
312,76,Mask,Mid,2.2222222222222223,5.444444444444445,3.0,9.726329372546921,418.3031345771282,768.3800204312067,1.4968546696058944
313,62,Massu,Bot,3.4444444444444446,5.333333333333333,2.111111111111111,8.225925018377838,413.9132565547655,676.4114187699086,1.113697623131584
314,31,Mataz,Jungle,2.411764705882353,5.411764705882353,4.235294117647059,4.684556371993667,302.5947625675727,289.6578512931739,1.377010973359664
315,75,Meech,Bot,4.666666666666667,7.111111111111111,2.6666666666666665,7.133550488599371,392.2149837133563,819.3224755700352,1.0814332247557037
316,80,Meiko,Support,1.1111111111111112,10.222222222222221,1.8888888888888888,2.185235950655971,308.85059721950387,251.34129626003622,3.1642843156452054
317,90,Meteor,Jungle,1.875,7.0625,2.5625,5.851494265703067,325.28950525992815,380.7422496302719,1.4599436336746994
318,21,mfis,Mid,1.8333333333333333,3.9166666666666665,3.0833333333333335,7.7780829442461075,353.69678659708967,495.0013732491087,0.8157099697885218
319,58,micaO,Bot,2.9,4.4,2.9,7.789430811526313,379.71795132878486,537.5593116790545,1.1271764586091018
320,17,Mikyx,Support,0.8095238095238095,10.952380952380953,4.0476190476190474,1.3383070594547652,275.58087840772663,231.42441043460514,3.823296456220143
321,88,milkyway,Jungle,3.2,5.266666666666667,1.9333333333333333,5.6321463573995665,344.902537297181,309.1516933464023,1.4809974953718892
