Player_id,Team_id,Tournament_id,Champion_id,Role,GameId,PlayerWin,Gamelength Number,Kills,Deaths,Assists,Gold,CS,DamageToChampions,VisionScore
5,10,39,38,Top,VCS/2024 Season/Spring Promotion_Round 1_2_4,Yes,30.116666666667,4,4,7,14032,252,32275,42
5,10,39,1,Top,VCS/2024 Season/Spring Promotion_Round 1_2_5,No,28.1,1,4,0,9763,237,11274,30
5,10,39,50,Top,VCS/2024 Season/Spring Promotion_Round 1_3_1,Yes,29.633333333333,4,9,2,12277,264,19303,31
5,10,39,106,Top,VCS/2024 Season/Spring Promotion_Round 1_3_2,Yes,22.416666666667,14,1,8,14119,193,25189,28
5,10,39,158,Top,VCS/2024 Season/Spring Promotion_Round 1_3_3,No,37.183333333333,2,6,8,15560,332,28464,58
5,10,39,54,Top,VCS/2024 Season/Spring Promotion_Round 1_3_4,Yes,24.883333333333,4,3,6,11122,232,19092,28
6,80,27,140,Top,LPL/2024 Season/Spring Season_Week 1_1_1,No,27.05,1,2,1,9972,263,8595,23
6,80,27,140,Top,LPL/2024 Season/Spring Season_Week 1_1_2,Yes,30.566666666667,2,2,6,11895,262,15142,37
6,80,27,120,Top,LPL/2024 Season/Spring Season_Week 1_1_3,No,27.483333333333,1,4,1,8894,216,10885,39
6,80,27,140,Top,LPL/2024 Season/Spring Season_Week 1_14_1,Yes,28.833333333333,0,1,6,11797,263,14531,28
6,80,27,109,Top,LPL/2024 Season/Spring Season_Week 1_14_2,Yes,28.45,6,2,10,12400,240,22467,27
6,80,27,109,Top,LPL/2024 Season/Spring Season_Week 2_12_1,Yes,29.3,5,1,4,12324,252,17725,44
6,80,27,63,Top,LPL/2024 Season/Spring Season_Week 2_12_2,Yes,22.55,1,2,8,8968,188,11248,19
6,80,27,38,Top,LPL/2024 Season/Spring Season_Week 3_6_1,Yes,23.533333333333,1,0,6,10795,239,17984,25
6,80,27,109,Top,LPL/2024 Season/Spring Season_Week 3_6_2,Yes,37.583333333333,9,2,4,17266,278,39685,39
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 4_15_1,Yes,26.083333333333,3,1,2,12368,234,17229,27
6,80,27,54,Top,LPL/2024 Season/Spring Season_Week 4_15_2,Yes,29.35,3,1,9,13095,267,14008,33
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 4_9_1,Yes,36.166666666667,4,1,2,15987,381,15959,41
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 4_9_2,Yes,23.45,8,0,2,12341,212,18472,26
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 5_1_1,Yes,29.866666666667,3,2,8,13521,297,19459,21
6,80,27,50,Top,LPL/2024 Season/Spring Season_Week 5_1_2,No,29.566666666667,1,3,2,10801,268,11039,23
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 5_1_3,No,29.283333333333,2,3,6,11919,244,22464,39
6,80,27,38,Top,LPL/2024 Season/Spring Season_Week 5_11_1,Yes,31.083333333333,6,2,5,16601,323,24535,22
6,80,27,50,Top,LPL/2024 Season/Spring Season_Week 5_11_2,No,26.416666666667,2,1,0,11372,248,11588,19
6,80,27,95,Top,LPL/2024 Season/Spring Season_Week 5_11_3,Yes,24.916666666667,2,0,8,9586,194,13426,21
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 6_1_1,Yes,32.5,3,1,6,15106,288,16148,40
6,80,27,51,Top,LPL/2024 Season/Spring Season_Week 6_1_2,Yes,26.95,1,2,9,11751,246,18691,27
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 6_10_1,Yes,24.583333333333,4,1,0,10789,235,14114,23
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 6_10_2,Yes,27.0,5,0,6,13170,261,20409,23
6,80,27,106,Top,LPL/2024 Season/Spring Season_Week 6_15_1,Yes,22.25,4,0,6,11073,228,15974,22
6,80,27,38,Top,LPL/2024 Season/Spring Season_Week 6_15_2,Yes,35.283333333333,0,2,5,15064,338,24733,58
6,80,27,106,Top,LPL/2024 Season/Spring Season_Week 7_18_1,Yes,28.7,5,1,8,12743,242,23053,40
6,80,27,54,Top,LPL/2024 Season/Spring Season_Week 7_18_2,Yes,25.0,3,2,3,9133,212,9120,19
6,80,27,106,Top,LPL/2024 Season/Spring Season_Week 7_9_1,Yes,33.016666666667,3,1,4,14438,343,17881,28
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 7_9_2,No,28.283333333333,1,4,4,10330,244,13998,20
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 7_9_3,No,28.216666666667,1,4,1,10567,223,12206,21
6,80,27,109,Top,LPL/2024 Season/Spring Season_Week 8_10_1,Yes,30.433333333333,7,1,3,12577,222,21882,21
6,80,27,106,Top,LPL/2024 Season/Spring Season_Week 8_10_2,Yes,26.733333333333,0,1,6,11078,267,14910,25
6,80,27,54,Top,LPL/2024 Season/Spring Season_Week 8_16_1,No,43.483333333333,3,5,7,16816,343,26577,35
6,80,27,106,Top,LPL/2024 Season/Spring Season_Week 8_16_2,Yes,32.883333333333,4,2,5,15519,289,19391,38
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 8_16_3,Yes,27.433333333333,1,1,2,11478,291,10067,17
6,80,27,1,Top,LPL/2024 Season/Spring Season_Week 9_6_1,Yes,28.433333333333,5,2,5,13053,258,23159,35
6,80,27,106,Top,LPL/2024 Season/Spring Season_Week 9_6_2,Yes,34.35,6,2,5,16642,327,28456,50
6,80,28,106,Top,LPL/2024 Season/Spring Playoffs_Finals_1_1,No,43.283333333333,2,4,6,16717,376,24542,43
6,80,28,106,Top,LPL/2024 Season/Spring Playoffs_Finals_1_2,No,23.2,0,5,1,7222,184,10800,11
6,80,28,103,Top,LPL/2024 Season/Spring Playoffs_Finals_1_3,Yes,36.716666666667,6,2,8,15545,245,17478,36
6,80,28,39,Top,LPL/2024 Season/Spring Playoffs_Finals_1_4,No,32.666666666667,0,3,2,9514,232,16995,30
6,80,28,106,Top,LPL/2024 Season/Spring Playoffs_Round 4_2_1,Yes,38.366666666667,2,3,6,15887,339,21106,44
6,80,28,1,Top,LPL/2024 Season/Spring Playoffs_Round 4_2_2,Yes,38.316666666667,8,2,4,17134,323,35069,34
6,80,28,95,Top,LPL/2024 Season/Spring Playoffs_Round 4_2_3,Yes,37.8,1,1,18,14054,266,25939,36
6,80,28,95,Top,LPL/2024 Season/Spring Playoffs_Semifinals_1_1,No,35.833333333333,0,2,4,12052,281,18871,30
6,80,28,141,Top,LPL/2024 Season/Spring Playoffs_Semifinals_1_2,Yes,34.683333333333,5,1,3,15431,341,20928,28
6,80,28,100,Top,LPL/2024 Season/Spring Playoffs_Semifinals_1_3,No,37.883333333333,1,4,0,17192,392,23085,51
